标题,标题1,标题2,标题3,标题4,标题5,内容,keyword
数据采集,贵州贵宏源建筑装饰工程有限公司,贵州省贵阳市,数据处理,1-3年,2026-07-01,"薪酬:500-1000元/月
学历:中专/中技
经验:1-3年
来源:BOSS直聘",数据
数据标注专员,驻马店青承数产科技有限公司,河南省驻马店市,数据处理,不限,2026-07-01,"薪酬:3000-8000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
PA数据标注项目助理,澳鹏数据科技上海有限公司,江苏省无锡市,数据处理,不限,2026-07-01,"薪酬:5000-6000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据采标员,长沙辰枢数智科技有限公司,湖南省长沙市,技术,1-3年,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据标注,辽宁拾宜数智信息科技有限公司,辽宁省沈阳市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据采集机器人数据采集,北京云百讯科技有限公司,上海市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据采集,江西有一乐教育科技有限公司,湖北省武汉市,数据处理,1-3年,2026-07-01,"薪酬:4000-6000元/月
学历:不限
经验:1-3年
来源:BOSS直聘",数据
今天面试 明天上班-数据标注专员,寰宇智链山东大数据集团有限公司,山东省淄博市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集,黑龙江庚午文化传媒有限公司,黑龙江省大庆市,数据处理,1-3年,2026-07-01,"薪酬:4000-7000元/月
学历:中专/中技
经验:1-3年
来源:BOSS直聘",数据
数据采集员（太仓）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
文本编辑采集数据整理,山东海蓝数科信息科技有限公司,山东省青岛市,数据处理,1-3年,2026-07-01,"薪酬:3000-6000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
兼职   数据采集员,盘锦市兴隆台区安乾源数据服务中心个体工商户,辽宁省盘锦市,数据处理,不限,2026-07-01,"薪酬:20-30元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集,云南智禾农联科技有限公司,云南省昆明市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注,鸡泽县帅旗五金机械店,河北省邯郸市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:中专/中技
经验:不限
来源:BOSS直聘",数据
数据采集员（太仓）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集员（太仓）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据产品经理,佛山美云智数科技有限公司,广东省佛山市,产品,5-10年,2026-07-01,"薪酬:13000-15000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据分析师,吉客印郑州数字科技有限公司,河南省郑州市,数据分析,3-5年,2026-07-01,"薪酬:10000-15000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据员,广西智新技术咨询服务有限责任公司,广西壮族自治区贺州市,技术,1-3年,2026-07-01,"薪酬:4000-6000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据标注,河南速圹信息科技有限公司,河南省开封市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
大模型数据交付项目经理,砺英数智北京数据技术有限公司沈阳分公司,辽宁省沈阳市,技术,3-5年,2026-07-01,"薪酬:7000-12000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
IDC土建经理（甲方-数据中心经历）,港城云联苏州数据系统有限公司,江苏省苏州市,技术,5-10年,2026-07-01,"薪酬:18000-25000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
数据采集员（吴江松陵）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
视听数据标注实习生,四川灵泽数汇数据科技有限公司,四川省眉山市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
IDC项目经理（甲方-数据中心经历）,港城云联苏州数据系统有限公司,江苏省苏州市,技术,5-10年,2026-07-01,"薪酬:18000-25000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
后端开发工程师·数据标注,澳鹏数据科技重庆有限公司,上海市,技术,1-3年,2026-07-01,"薪酬:30-50元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据采集员（昆山）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集员（吴江黎里）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集员（吴江盛泽）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集专员,淮安市苔藓智基数据科技有限公司,江苏省淮安市,数据处理,不限,2026-07-01,"薪酬:4000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据工程师,稷量数字科技北京有限公司,北京市,技术,1-3年,2026-07-01,"薪酬:15000-20000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
金融AI数据标注-周末双休，早九晚六,澳鹏数据科技上海有限公司,辽宁省大连市,算法/AI,不限,2026-07-01,"薪酬:4000-5000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据治理专家,美云智数科技有限公司,北京市,技术,5-10年,2026-07-01,"薪酬:20000-40000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
AI 数据产品经理,广州众成大数据科技有限公司,广东省广州市,算法/AI,1-3年,2026-07-01,"薪酬:11000-18000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据采集员可兼职张家港地区,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据测试工程师,杭州颖数科技有限责任公司,浙江省杭州市,技术,5-10年,2026-07-01,"薪酬:11000-20000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
数据工程师,庐山文控数字科技有限责任公司,江西省九江市,技术,1-3年,2026-07-01,"薪酬:6000-7000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
